Antecedente;Consequente;Suporte;Confiança;Lift;Rule Interest;Convicção;Score
MAIONESE_HELLMANN_S;CHOCNESTLE;0,0139;0,2205;3,1224;0,0095;1,1923;0,1499;4,3904;2,5471;
CHOCNESTLE;MAIONESE_HELLMANN_S;0,0139;0,1969;3,1224;0,0095;1,1667;0,1339;4,3904;2,4476;
LEITE_MOCA,SPO_OMO;ACHOCNESCAU;0,0108;0,3886;6,6101;0,0092;1,5394;0,3298;12,2408;4,4810;
ACHOCNESCAU,SPO_OMO;LEITE_MOCA;0,0108;0,6314;6,2997;0,0091;2,4412;0,5312;17,1152;6,0124;
ACHOCNESCAU,LEITE_MOCA;SPO_OMO;0,0108;0,4295;6,0897;0,0090;1,6292;0,3590;11,5346;4,5391;
CREME_DE_LEITE_NESTLE,LEITE_MOCA;ARROZ_PRATO_FINO;0,0133;0,3128;5,6235;0,0109;1,3743;0,2572;9,8344;3,8641;
ARROZ_PRATO_FINO,LEITE_MOCA;CREME_DE_LEITE_NESTLE;0,0133;0,5676;7,8693;0,0116;2,1457;0,4954;20,4639;6,2349;
ARROZ_PRATO_FINO,CREME_DE_LEITE_NESTLE;LEITE_MOCA;0,0133;0,7800;7,7826;0,0116;4,0908;0,6798;36,5390;8,6354;
SAL_CISNE;GELATINA_ROYAL;0,0109;0,1761;4,1650;0,0083;1,1625;0,1338;6,1810;2,6241;
GELATINA_ROYAL;SAL_CISNE;0,0109;0,2585;4,1650;0,0083;1,2649;0,1964;6,1810;2,9935;
DETERGYPE,SPO_OMO;COCA_COLA;0,0112;0,5205;2,6810;0,0070;1,6805;0,3263;4,7197;3,6292;
COCA_COLA,SPO_OMO;DETERGYPE;0,0112;0,3489;5,5392;0,0092;1,4390;0,2859;9,4754;3,9219;
COCA_COLA,DETERGYPE;SPO_OMO;0,0112;0,4282;6,0710;0,0093;1,6255;0,3577;11,5383;4,5429;
BISCNESTLE;ACHOCTODDY;0,0104;0,0824;3,1730;0,0071;1,0615;0,0564;4,9474;1,8967;
ACHOCTODDY;BISCNESTLE;0,0104;0,4001;3,1730;0,0071;1,4567;0,2740;4,9474;3,2628;
COCA_COLA,SAL_CISNE;ARROZ_PRATO_FINO;0,0104;0,4020;7,2255;0,0090;1,5791;0,3463;13,8124;4,7442;
ARROZ_PRATO_FINO,SAL_CISNE;COCA_COLA;0,0104;0,5552;2,8600;0,0068;1,8117;0,3611;5,4190;3,8955;
ARROZ_PRATO_FINO,COCA_COLA;SAL_CISNE;0,0104;0,4124;6,6436;0,0089;1,5961;0,3503;12,5439;4,6100;
LEITE_MOCA;EXTRATO_ELEFANTE_KNORRCICA;0,0113;0,1124;4,5231;0,0088;1,0987;0,0876;8,2613;2,5342;
